Maths,Science,Creativity,Communication,Tech Interest,Analytical Thinking,Leadership,Writing Skills,Teamwork,Medical Knowledge,Problem Solving,Business Acumen,Passion for Teaching,Interest in Law,Musical Talent,Career
0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,Game Developer
1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,Chef
1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,Lawyer
1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,Engineer
0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,Data Scientist
0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,Mechanical Engineer
0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,Marketing Manager
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,Psychologist
0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,Entrepreneur
0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,Psychologist
1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,Marketing Manager
1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,Chef
0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,Entrepreneur
1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,Financial Analyst
0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,Entrepreneur
1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,Psychologist
1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,Marketing Manager
1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,Biotechnologist
0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,Data Scientist
1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,Teacher
1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,Entrepreneur
0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,Artist
1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,Software Developer
0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,Software Developer
1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,Architect
1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,Mechanical Engineer
1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,Doctor
0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,Journalist
1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,Lawyer
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Scientist
0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,Data Scientist
0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,Doctor
1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,Journalist
1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,Civil Engineer
1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,Chef
1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,Mechanical Engineer
1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,Scientist
1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,Doctor
0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,Teacher
1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,Teacher
0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,Civil Engineer
1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,Financial Analyst
1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,Teacher
0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,Architect
1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,Journalist
1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,Psychologist
1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,Software Developer
1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,Financial Analyst
1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,Game Developer
0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,Marketing Manager
0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,Doctor
1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,Engineer
1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,Doctor
1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,Software Developer
0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,Psychologist
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,Mechanical Engineer
0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,Software Developer
0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,Data Scientist
0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,Financial Analyst
0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,Mechanical Engineer
1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,Mechanical Engineer
1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,Engineer
0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,Entrepreneur
1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,Architect
0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,Artist
1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,Mechanical Engineer
1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,Doctor
1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,Marketing Manager
1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,Marketing Manager
0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,Entrepreneur
1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,Architect
1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,Musician
1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,Game Developer
0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,Game Developer
1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,Entrepreneur
1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,Doctor
0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,Musician
1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,Scientist
1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,Psychologist
0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,Lawyer
1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,Doctor
0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,Data Scientist
0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,Civil Engineer
0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,Marketing Manager
1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,Musician
1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,Lawyer
1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,Lawyer
0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,Biotechnologist
1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,Musician
1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,Artist
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,Chef
1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,Game Developer
1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,Financial Analyst
0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,Artist
0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,Musician
1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,Civil Engineer
1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,Musician
1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,Engineer
1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,Engineer
0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,Artist
1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,Entrepreneur
0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,Civil Engineer
0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,Teacher
1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,Chef
1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,Engineer
1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,Musician
0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,Data Scientist
1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,Marketing Manager
0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,Architect
1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,Musician
0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,Artist
1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,Teacher
0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,Financial Analyst
0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,Artist
1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,Entrepreneur
0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,Mechanical Engineer
1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,Journalist
0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,Entrepreneur
1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,Biotechnologist
1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,Entrepreneur
1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,Data Scientist
1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,Journalist
0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,Psychologist
1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,Chef
0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,Chef
1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,Software Developer
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,Engineer
0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,Biotechnologist
0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,Lawyer
0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,Artist
0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,Journalist
0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,Lawyer
0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,Musician
1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,Teacher
0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,Data Scientist
0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,Game Developer
0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,Financial Analyst
1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,Artist
1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,Engineer
0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,Artist
0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,Data Scientist
1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,Marketing Manager
1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,Civil Engineer
0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,Teacher
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Marketing Manager
0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,Mechanical Engineer
0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,Biotechnologist
0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,Civil Engineer
0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,Mechanical Engineer
0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,Doctor
0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,Teacher
1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,Psychologist
0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,Civil Engineer
0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,Teacher
0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,Marketing Manager
0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,Journalist
1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,Psychologist
0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,Lawyer
0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,Mechanical Engineer
0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,Chef
0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,Entrepreneur
0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,Musician
1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,Data Scientist
1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,Data Scientist
1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,Journalist
0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,Lawyer
0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,Mechanical Engineer
1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,Psychologist
0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,Biotechnologist
1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,Civil Engineer
1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,Data Scientist
1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,Scientist
1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,Architect
0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,Scientist
1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,Artist
0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,Engineer
0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,Financial Analyst
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,Mechanical Engineer
0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,Scientist
0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,Journalist
0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,Artist
0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,Doctor
1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,Mechanical Engineer
1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,Teacher
1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,Data Scientist
1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,Architect
0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,Chef
1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,Game Developer
0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,Civil Engineer
1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,Lawyer
1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,Game Developer
0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,Scientist
1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,Musician
1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,Doctor
1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,Musician
0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,Game Developer
0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,Civil Engineer
0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,Lawyer
1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,Teacher
1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,Artist
0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,Entrepreneur
1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,Chef
0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,Scientist
1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,Lawyer
1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,Teacher
0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,Chef
0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,Marketing Manager
1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,Chef
1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,Game Developer
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,Data Scientist
1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,Biotechnologist
1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,Psychologist
0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,Lawyer
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Journalist
0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,Marketing Manager
0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,Artist
1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,Data Scientist
1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,Mechanical Engineer
0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,Data Scientist
1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,Engineer
0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,Entrepreneur
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Data Scientist
1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,Biotechnologist
0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,Civil Engineer
1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,Psychologist
1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,Psychologist
0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,Mechanical Engineer
1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,Entrepreneur
1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,Data Scientist
1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,Chef
0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,Game Developer
1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,Data Scientist
1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,Artist
1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,Software Developer
1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,Entrepreneur
1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,Psychologist
0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,Musician
0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,Engineer
0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,Lawyer
1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,Financial Analyst
0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,Musician
0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,Financial Analyst
1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,Data Scientist
1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,Civil Engineer
0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,Entrepreneur
1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,Doctor
0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,Data Scientist
0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,Software Developer
1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,Journalist
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,Teacher
0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,Musician
1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,Game Developer
0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,Civil Engineer
1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,Software Developer
0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,Scientist
0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,Chef
0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,Software Developer
0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,Scientist
1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,Chef
0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,Mechanical Engineer
0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,Psychologist
0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,Journalist
0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,Data Scientist
1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,Doctor
0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,Biotechnologist
0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,Journalist
1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,Entrepreneur
1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Journalist
1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,Scientist
0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,Civil Engineer
1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,Doctor
1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,Marketing Manager
0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,Civil Engineer
0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,Entrepreneur
0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,Marketing Manager
1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,Doctor
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,Software Developer
0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,Teacher
1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,Journalist
1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,Doctor
1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,Biotechnologist
0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,Doctor
1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,Journalist
0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,Teacher
1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,Game Developer
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,Engineer
1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,Engineer
0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,Engineer
1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,Marketing Manager
0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,Civil Engineer
1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,Biotechnologist
0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,Chef
1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,Artist
0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,Lawyer
0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,Musician
1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,Scientist
0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,Artist
0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,Psychologist
1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,Psychologist
1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,Doctor
1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,Scientist
1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,Civil Engineer
0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,Entrepreneur
1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,Biotechnologist
1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,Game Developer
1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,Lawyer
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,Marketing Manager
0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,Data Scientist
0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,Teacher
0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,Chef
0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,Doctor
0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,Architect
0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,Doctor
1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,Architect
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Artist
0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,Scientist
1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,Engineer
0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,Architect
0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,Lawyer
0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,Doctor
0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,Teacher
1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,Journalist
1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,Scientist
0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,Chef
1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,Architect
0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,Psychologist
0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,Artist
1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,Marketing Manager
0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,Data Scientist
1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,Marketing Manager
0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,Software Developer
1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,Civil Engineer
1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,Software Developer
1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,Mechanical Engineer
0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,Marketing Manager
1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,Software Developer
0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,Artist
1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,Mechanical Engineer
1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,Software Developer
1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,Software Developer
1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,Financial Analyst
0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,Game Developer
0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,Doctor
1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,Engineer
0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,Artist
0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,Scientist
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,Teacher
